trialInstr,x_fixStart,y_fixStart,x_corrSteps,y_corrSteps,x_nrSteps,y_nrSteps,alienID,trialLength,version,trialTrain,praclen,beforeExpLoop.thisRepN,beforeExpLoop.thisTrialN,beforeExpLoop.thisN,beforeExpLoop.thisIndex,mini_instr_trials.thisRepN,mini_instr_trials.thisTrialN,mini_instr_trials.thisN,mini_instr_trials.thisIndex,instrLoop.thisRepN,instrLoop.thisTrialN,instrLoop.thisN,instrLoop.thisIndex,repeat_prac.thisRepN,repeat_prac.thisTrialN,repeat_prac.thisN,repeat_prac.thisIndex,trainLoop.thisRepN,trainLoop.thisTrialN,trainLoop.thisN,trainLoop.thisIndex,moveLoop_train.thisRepN,moveLoop_train.thisTrialN,moveLoop_train.thisN,moveLoop_train.thisIndex,start_all_time,url,slideStim,audioStim,slides.started,sounds.started,nextButton.numClicks,nextButton.timesOn,nextButton.timesOff,prev_but.numClicks,prev_but.timesOn,prev_but.timesOff,alienStim,instrFile,alienStim_instr,gridImage_instr.started,startPos_3.started,key_instr.started,alienImage_3.started,sounds_1.started,key_instr.keys,key_instr.rt,all_x,all_y,FBy_corrSteps,FBy_fixStart,FBx_corrSteps,FBx_fixStart,FBy_pathSize_check,FBx_pathSize_check,gridImage_9.started,alienImageFB_3.started,startPosFB_3.started,keyFB_3.started,pathLine_ydir_2.started,pathLine_xdir_2.started,alienFace_3.started,sounds_2.started,RTFB_instr,keyFB_3.keys,keyFB_3.rt,draw_alienStim,draw_alienID,test_x,nrepcount,perfthres,percthres,earlierperf,earlystop,nextPrac,fileidx,praclen,saveACC_train,pracFile,nextPrac_train,addNrep,fileidx_endr,repExp,showearly,gridImage_4.started,startPos.started,movePos.started,key_resp.started,alienImage.started,wLy_dir,wLx_dir,x_movePos,y_movePos,buttonPress_train,RTchoice_train,cumAcctrain,aCorr,saveACC_choice,corrAns,x_movePos_end,y_movePos_end,key_resp.keys,key_resp.rt,text_2.started,text_2.stopped,aft_x_corrPos,aft_y_corrPos,y_pathSize_check,x_pathSize_check,y_pathdirY,x_pathdirY,x_pathdirX,x_corrPos,y_corrPos,gridImage_6.started,alienImageFB_2.started,startPosFB_2.started,movePosFB_2.started,keyFB_2.started,pathLine_xdir.started,pathLine_ydir.started,alienFace.started,sounds_4.started,RT_FBtrain,keyFB_2.keys,keyFB_2.rt,participant,train_first,direction of x,starting corner,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,start_all_time,testround,conditions/schedules/train_x_first/x_increasing_steps/bottom_left/instructions/Slide1.png,conditions/schedules/train_x_first/x_increasing_steps/bottom_left/instructions/Audio1.wav,31.225514500052668,31.051534469274337,1,[5.31526770000346],[5.315281599992886],0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,train_x,x_increasing_steps,bottom_left,2024-10-23_12h49.30.451,HideSeek_v1,2022.2.5,60.74241817033258,
,,,,,,,,,,,,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,conditions/schedules/train_x_first/x_increasing_steps/bottom_left/instructions/Slide2.png,conditions/schedules/train_x_first/x_increasing_steps/bottom_left/instructions/Audio2.wav,36.44244890008122,36.42877616004552,2,"[5.31526770000346, 2.2167117000790313]","[5.315281599992886, 2.216718400013633]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,train_x,x_increasing_steps,bottom_left,2024-10-23_12h49.30.451,HideSeek_v1,2022.2.5,60.74241817033258,
,,,,,,,,,,,,0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,,,,,conditions/schedules/train_x_first/x_increasing_steps/bottom_left/instructions/Slide3.png,conditions/schedules/train_x_first/x_increasing_steps/bottom_left/instructions/Audio3.wav,38.76297939999495,38.75818873007083,3,"[5.31526770000346, 2.2167117000790313, 1.0150953000411391]","[5.315281599992886, 2.216718400013633, 1.0151022999780253]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,train_x,x_increasing_steps,bottom_left,2024-10-23_12h49.30.451,HideSeek_v1,2022.2.5,60.74241817033258,
,,,,,,,,,,,,0,0,0,0,3,0,3,0,,,,,,,,,,,,,,,,,,,conditions/schedules/train_x_first/x_increasing_steps/bottom_left/instructions/Slide4.png,conditions/schedules/train_x_first/x_increasing_steps/bottom_left/instructions/Audio4.wav,39.844214000040665,39.84496575006051,4,"[5.31526770000346, 2.2167117000790313, 1.0150953000411391, 0.9007976999273524]","[5.315281599992886, 2.216718400013633, 1.0151022999780253, 0.9008039999753237]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,train_x,x_increasing_steps,bottom_left,2024-10-23_12h49.30.451,HideSeek_v1,2022.2.5,60.74241817033258,
,,,,,,,,,,,,0,0,0,0,4,0,4,0,,,,,,,,,,,,,,,,,,,conditions/schedules/train_x_first/x_increasing_steps/bottom_left/instructions/Slide5.png,conditions/schedules/train_x_first/x_increasing_steps/bottom_left/instructions/Audio5.wav,40.81240589998197,40.7960216600215,5,"[5.31526770000346, 2.2167117000790313, 1.0150953000411391, 0.9007976999273524, 1.0681150000309572]","[5.315281599992886, 2.216718400013633, 1.0151022999780253, 0.9008039999753237, 1.068122599972412]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,train_x,x_increasing_steps,bottom_left,2024-10-23_12h49.30.451,HideSeek_v1,2022.2.5,60.74241817033258,
,,,,,,,,,,,,0,0,0,0,5,0,5,0,,,,,,,,,,,,,,,,,,,conditions/schedules/train_x_first/x_increasing_steps/bottom_left/instructions/Slide6.png,conditions/schedules/train_x_first/x_increasing_steps/bottom_left/instructions/Audio6.wav,41.94584920001216,41.94266374997096,6,"[5.31526770000346, 2.2167117000790313, 1.0150953000411391, 0.9007976999273524, 1.0681150000309572, 0.8994977999245748]","[5.315281599992886, 2.216718400013633, 1.0151022999780253, 0.9008039999753237, 1.068122599972412, 0.8995055999839678]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,train_x,x_increasing_steps,bottom_left,2024-10-23_12h49.30.451,HideSeek_v1,2022.2.5,60.74241817033258,
,,,,,,,,,,,,0,0,0,0,6,0,6,0,,,,,,,,,,,,,,,,,,,conditions/schedules/train_x_first/x_increasing_steps/bottom_left/instructions/Slide7.png,conditions/schedules/train_x_first/x_increasing_steps/bottom_left/instructions/Audio7.wav,42.92851520003751,42.91164745000424,7,"[5.31526770000346, 2.2167117000790313, 1.0150953000411391, 0.9007976999273524, 1.0681150000309572, 0.8994977999245748, 0.7761782000306994]","[5.315281599992886, 2.216718400013633, 1.0151022999780253, 0.9008039999753237, 1.068122599972412, 0.8995055999839678, 0.776184800080955]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,train_x,x_increasing_steps,bottom_left,2024-10-23_12h49.30.451,HideSeek_v1,2022.2.5,60.74241817033258,
,,,,,,,,,,,,0,0,0,0,7,0,7,0,,,,,,,,,,,,,,,,,,,conditions/schedules/train_x_first/x_increasing_steps/bottom_left/instructions/Slide8.png,conditions/schedules/train_x_first/x_increasing_steps/bottom_left/instructions/Audio8.wav,43.76235199999064,43.74612506006378,8,"[5.31526770000346, 2.2167117000790313, 1.0150953000411391, 0.9007976999273524, 1.0681150000309572, 0.8994977999245748, 0.7761782000306994, 0.7718876999570057]","[5.315281599992886, 2.216718400013633, 1.0151022999780253, 0.9008039999753237, 1.068122599972412, 0.8995055999839678, 0.776184800080955, 0.7718953000148758]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,train_x,x_increasing_steps,bottom_left,2024-10-23_12h49.30.451,HideSeek_v1,2022.2.5,60.74241817033258,
,,,,,,,,,,,,0,0,0,0,8,0,8,0,,,,,,,,,,,,,,,,,,,conditions/schedules/train_x_first/x_increasing_steps/bottom_left/instructions/Slide9.png,conditions/schedules/train_x_first/x_increasing_steps/bottom_left/instructions/Audio9.wav,44.580134400050156,44.5792581600137,9,"[5.31526770000346, 2.2167117000790313, 1.0150953000411391, 0.9007976999273524, 1.0681150000309572, 0.8994977999245748, 0.7761782000306994, 0.7718876999570057, 0.6799631000030786]","[5.315281599992886, 2.216718400013633, 1.0151022999780253, 0.9008039999753237, 1.068122599972412, 0.8995055999839678, 0.776184800080955, 0.7718953000148758, 0.6799703000579029]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,train_x,x_increasing_steps,bottom_left,2024-10-23_12h49.30.451,HideSeek_v1,2022.2.5,60.74241817033258,
,,,,,,,,,,,,0,0,0,0,9,0,9,0,,,,,,,,,,,,,,,,,,,conditions/schedules/train_x_first/x_increasing_steps/bottom_left/instructions/Slide10.png,conditions/schedules/train_x_first/x_increasing_steps/bottom_left/instructions/Audio10.wav,45.30817209999077,45.29441407000413,10,"[5.31526770000346, 2.2167117000790313, 1.0150953000411391, 0.9007976999273524, 1.0681150000309572, 0.8994977999245748, 0.7761782000306994, 0.7718876999570057, 0.6799631000030786, 0.8350959999952465]","[5.315281599992886, 2.216718400013633, 1.0151022999780253, 0.9008039999753237, 1.068122599972412, 0.8995055999839678, 0.776184800080955, 0.7718953000148758, 0.00021630001720041037, 0.8351018999237567]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,train_x,x_increasing_steps,bottom_left,2024-10-23_12h49.30.451,HideSeek_v1,2022.2.5,60.74241817033258,
,,,,,,,,,,,,0,0,0,0,10,0,10,0,,,,,,,,,,,,,,,,,,,conditions/schedules/train_x_first/x_increasing_steps/bottom_left/instructions/Slide11.png,conditions/schedules/train_x_first/x_increasing_steps/bottom_left/instructions/Audio11.wav,46.211236000061035,46.194776159990575,11,"[5.31526770000346, 2.2167117000790313, 1.0150953000411391, 0.9007976999273524, 1.0681150000309572, 0.8994977999245748, 0.7761782000306994, 0.7718876999570057, 0.6799631000030786, 0.8350959999952465, 5.522498499951325]","[5.315281599992886, 2.216718400013633, 1.0151022999780253, 0.9008039999753237, 1.068122599972412, 0.8995055999839678, 0.776184800080955, 0.7718953000148758, 0.00021630001720041037, 0.8351018999237567, 5.522506300010718]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,train_x,x_increasing_steps,bottom_left,2024-10-23_12h49.30.451,HideSeek_v1,2022.2.5,60.74241817033258,
,,,,,,,,,,,,0,0,0,0,11,0,11,0,,,,,,,,,,,,,,,,,,,conditions/schedules/train_x_first/x_increasing_steps/bottom_left/instructions/Slide12.png,conditions/schedules/train_x_first/x_increasing_steps/bottom_left/instructions/Audio12.wav,51.794839299982414,51.77848996005486,11,"[5.31526770000346, 2.2167117000790313, 1.0150953000411391, 0.9007976999273524, 1.0681150000309572, 0.8994977999245748, 0.7761782000306994, 0.7718876999570057, 0.6799631000030786, 0.8350959999952465, 5.522498499951325]","[5.315281599992886, 2.216718400013633, 1.0151022999780253, 0.9008039999753237, 1.068122599972412, 0.8995055999839678, 0.776184800080955, 0.7718953000148758, 0.00021630001720041037, 0.8351018999237567, 5.522506300010718]",1,[44.12131760001648],[44.12132390006445],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,train_x,x_increasing_steps,bottom_left,2024-10-23_12h49.30.451,HideSeek_v1,2022.2.5,60.74241817033258,
,,,,,,,,,,,,0,0,0,0,12,0,12,0,,,,,,,,,,,,,,,,,,,conditions/schedules/train_x_first/x_increasing_steps/bottom_left/instructions/Slide11.png,conditions/schedules/train_x_first/x_increasing_steps/bottom_left/instructions/Audio11.wav,95.96011690003797,95.94520286998012,12,"[5.31526770000346, 2.2167117000790313, 1.0150953000411391, 0.9007976999273524, 1.0681150000309572, 0.8994977999245748, 0.7761782000306994, 0.7718876999570057, 0.6799631000030786, 0.8350959999952465, 5.522498499951325, 7.535076899919659]","[5.315281599992886, 2.216718400013633, 1.0151022999780253, 0.9008039999753237, 1.068122599972412, 0.8995055999839678, 0.776184800080955, 0.7718953000148758, 0.00021630001720041037, 0.8351018999237567, 5.522506300010718, 7.535084399976768]",1,[44.12131760001648],[0.01676879997830838],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,train_x,x_increasing_steps,bottom_left,2024-10-23_12h49.30.451,HideSeek_v1,2022.2.5,60.74241817033258,
,,,,,,,,,,,,0,0,0,0,13,0,13,0,,,,,,,,,,,,,,,,,,,conditions/schedules/train_x_first/x_increasing_steps/bottom_left/instructions/Slide12.png,conditions/schedules/train_x_first/x_increasing_steps/bottom_left/instructions/Audio12.wav,103.53676200006157,103.52793927005258,13,"[5.31526770000346, 2.2167117000790313, 1.0150953000411391, 0.9007976999273524, 1.0681150000309572, 0.8994977999245748, 0.7761782000306994, 0.7718876999570057, 0.6799631000030786, 0.8350959999952465, 5.522498499951325, 7.535076899919659, 44.88968679995742]","[5.315281599992886, 2.216718400013633, 1.0151022999780253, 0.9008039999753237, 1.068122599972412, 0.8995055999839678, 0.776184800080955, 0.7718953000148758, 0.00021630001720041037, 0.8351018999237567, 5.522506300010718, 0.03917329991236329, 44.88969439989887]",1,[44.12131760001648],[0.01676879997830838],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,train_x,x_increasing_steps,bottom_left,2024-10-23_12h49.30.451,HideSeek_v1,2022.2.5,60.74241817033258,
1,3,7,8,7,5,0,66,2,instr_dim1_1,,,0,0,0,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,stimuli/alien_stimuli/66.png,conditions/schedules/train_x_first/x_increasing_steps/bottom_left/inputInstr_1.xlsx,stimuli/alien_stimuli/66.png,148.52210850000847,148.52210850000847,148.52210850000847,148.52210850000847,148.51126323996579,return,1.346500699990429,"[-0.16, -0.08, 0, 0.08, 0.16, 0.24, 0.32, 0.4, 0.48, 0.56]","[-0.4, -0.32, -0.24, -0.16, -0.08, 0, 0.08, 0.16, 0.24, 0.32]",7,7,8,3,0.0,0.4,150.0902735000709,150.0902735000709,150.0902735000709,150.0902735000709,150.0902735000709,150.0902735000709,150.0902735000709,149.97708223999945,1.3357058999827132,return,1.103983600041829,stimuli/alien_stimuli/66.png,66,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,train_x,x_increasing_steps,bottom_left,2024-10-23_12h49.30.451,HideSeek_v1,2022.2.5,60.74241817033258,
,,,,,,,,,,,30,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,0.7,0,0,99,1,30,0,conditions/inputTrain_1.1.xlsx,99,1,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,train_x,x_increasing_steps,bottom_left,2024-10-23_12h49.30.451,HideSeek_v1,2022.2.5,60.74241817033258,
