trialTrain,x_fixStart,y_fixStart,x_corrSteps,y_corrSteps,x_nrSteps,y_nrSteps,alienID,testlen,version,trial_label,break_on_off,beforeExpLoop.thisRepN,beforeExpLoop.thisTrialN,beforeExpLoop.thisN,beforeExpLoop.thisIndex,mini_instr_trials.thisRepN,mini_instr_trials.thisTrialN,mini_instr_trials.thisN,mini_instr_trials.thisIndex,instrLoop.thisRepN,instrLoop.thisTrialN,instrLoop.thisN,instrLoop.thisIndex,repeat_prac.thisRepN,repeat_prac.thisTrialN,repeat_prac.thisN,repeat_prac.thisIndex,trainLoop.thisRepN,trainLoop.thisTrialN,trainLoop.thisN,trainLoop.thisIndex,experiment.thisRepN,experiment.thisTrialN,experiment.thisN,experiment.thisIndex,moveLoop_test.thisRepN,moveLoop_test.thisTrialN,moveLoop_test.thisN,moveLoop_test.thisIndex,breaks.thisRepN,breaks.thisTrialN,breaks.thisN,breaks.thisIndex,start_all_time,url,slideStim,audioStim,slides.started,sounds.started,nextButton.numClicks,nextButton.timesOn,nextButton.timesOff,prev_but.numClicks,prev_but.timesOn,prev_but.timesOff,perfthres,percthres,earlierperf,earlystop,nextPrac,fileidx,praclen,saveACC_train,pracFile,nextPrac_train,addNrep,fileidx_endr,repExp,showearly,alienStim,gridImage_3.started,alienImage_test.started,startPos_test.started,movePos_test.started,key_resp_test.started,wLy_dir_test,wLx_dir_test,buttonPress_test,RTchoice_test,cumAcctest,saveACC_choice,corrAns_test,x_movePos_end,y_movePos_end,key_resp_test.keys,key_resp_test.rt,fixation_text.started,fixation_text.stopped,draw_alienStim,draw_alienID,test_x,nrepcount,image_break_3.started,key_resp_7.started,key_resp_7.keys,key_resp_7.rt,participant,train_first,00_coordinate,starting corner,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,start_all_time,testround,conditions/schedules/train_y_first/red_square_00/top_left/instructions/Slide1.png,conditions/schedules/train_y_first/red_square_00/top_left/instructions/Audio1.wav,23.685374199878424,23.62507851854898,1,[1.3223693000618368],[1.3223788999021053],0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,train_y,red_square,top_left,2024-11-07_15h47.06.207,HideSeek_v1,2022.2.5,60.12242126847393,
,,,,,,,,,,,,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_y_first/red_square_00/top_left/instructions/Slide2.png,conditions/schedules/train_y_first/red_square_00/top_left/instructions/Audio2.wav,25.008503699908033,24.992060259869323,2,"[1.3223693000618368, 0.8292848998680711]","[0.7587128998711705, 0.8292924000415951]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,train_y,red_square,top_left,2024-11-07_15h47.06.207,HideSeek_v1,2022.2.5,60.12242126847393,
,,,,,,,,,,,,0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_y_first/red_square_00/top_left/instructions/Slide3.png,conditions/schedules/train_y_first/red_square_00/top_left/instructions/Audio3.wav,25.875081799924374,25.87584985997528,3,"[1.3223693000618368, 0.8292848998680711, 0.16524180001579225]","[0.7587128998711705, 0.09786480013281107, 0.16524869995191693]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,train_y,red_square,top_left,2024-11-07_15h47.06.207,HideSeek_v1,2022.2.5,60.12242126847393,
,,,,,,,,,,,,0,0,0,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_y_first/red_square_00/top_left/instructions/Slide4.png,conditions/schedules/train_y_first/red_square_00/top_left/instructions/Audio4.wav,26.092218599980697,26.075392219959756,4,"[1.3223693000618368, 0.8292848998680711, 0.16524180001579225, 0.4363834001123905]","[0.7587128998711705, 0.09786480013281107, 0.40241690003313124, 0.4363917999435216]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,train_y,red_square,top_left,2024-11-07_15h47.06.207,HideSeek_v1,2022.2.5,60.12242126847393,
,,,,,,,,,,,,0,0,0,0,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_y_first/red_square_00/top_left/instructions/Slide5.png,conditions/schedules/train_y_first/red_square_00/top_left/instructions/Audio5.wav,26.575395899824798,26.559142719977533,5,"[1.3223693000618368, 0.8292848998680711, 0.16524180001579225, 0.4363834001123905, 1.4732392001897097]","[0.7587128998711705, 0.09786480013281107, 0.40241690003313124, 1.2721187002025545, 1.4732459001243114]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,train_y,red_square,top_left,2024-11-07_15h47.06.207,HideSeek_v1,2022.2.5,60.12242126847393,
,,,,,,,,,,,,0,0,0,0,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_y_first/red_square_00/top_left/instructions/Slide6.png,conditions/schedules/train_y_first/red_square_00/top_left/instructions/Audio6.wav,28.079629899933934,28.0760259197792,6,"[1.3223693000618368, 0.8292848998680711, 0.16524180001579225, 0.4363834001123905, 1.4732392001897097, 0.9105980999302119]","[0.7587128998711705, 0.09786480013281107, 0.40241690003313124, 1.2721187002025545, 0.6101813998539001, 0.9106073998846114]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,train_y,red_square,top_left,2024-11-07_15h47.06.207,HideSeek_v1,2022.2.5,60.12242126847393,
,,,,,,,,,,,,0,0,0,0,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_y_first/red_square_00/top_left/instructions/Slide7.png,conditions/schedules/train_y_first/red_square_00/top_left/instructions/Audio7.wav,29.042168399784714,29.02521771986503,7,"[1.3223693000618368, 0.8292848998680711, 0.16524180001579225, 0.4363834001123905, 1.4732392001897097, 0.9105980999302119, 0.14039910002611578]","[0.7587128998711705, 0.09786480013281107, 0.40241690003313124, 1.2721187002025545, 0.6101813998539001, 0.0002001000102609396, 0.14040579996071756]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,train_y,red_square,top_left,2024-11-07_15h47.06.207,HideSeek_v1,2022.2.5,60.12242126847393,
,,,,,,,,,,,,0,0,0,0,7,0,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_y_first/red_square_00/top_left/instructions/Slide8.png,conditions/schedules/train_y_first/red_square_00/top_left/instructions/Audio8.wav,29.2253580999095,29.209409419936126,8,"[1.3223693000618368, 0.8292848998680711, 0.16524180001579225, 0.4363834001123905, 1.4732392001897097, 0.9105980999302119, 0.14039910002611578, 0.15684389998205006]","[0.7587128998711705, 0.09786480013281107, 0.40241690003313124, 1.2721187002025545, 0.6101813998539001, 0.0002001000102609396, 0.14040579996071756, 0.15684990002773702]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,train_y,red_square,top_left,2024-11-07_15h47.06.207,HideSeek_v1,2022.2.5,60.12242126847393,
,,,,,,,,,,,,0,0,0,0,8,0,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_y_first/red_square_00/top_left/instructions/Slide9.png,conditions/schedules/train_y_first/red_square_00/top_left/instructions/Audio9.wav,29.413432899862528,29.408733419864436,9,"[1.3223693000618368, 0.8292848998680711, 0.16524180001579225, 0.4363834001123905, 1.4732392001897097, 0.9105980999302119, 0.14039910002611578, 0.15684389998205006, 0.2770386999472976]","[0.7587128998711705, 0.09786480013281107, 0.40241690003313124, 1.2721187002025545, 0.6101813998539001, 0.0002001000102609396, 0.14040579996071756, 0.15684990002773702, 0.277045700000599]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,train_y,red_square,top_left,2024-11-07_15h47.06.207,HideSeek_v1,2022.2.5,60.12242126847393,
,,,,,,,,,,,,0,0,0,0,9,0,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_y_first/red_square_00/top_left/instructions/Slide10.png,conditions/schedules/train_y_first/red_square_00/top_left/instructions/Audio10.wav,29.725308699999005,29.70854177987203,10,"[1.3223693000618368, 0.8292848998680711, 0.16524180001579225, 0.4363834001123905, 1.4732392001897097, 0.9105980999302119, 0.14039910002611578, 0.15684389998205006, 0.2770386999472976, 0.42293940018862486]","[0.7587128998711705, 0.09786480013281107, 0.40241690003313124, 1.2721187002025545, 0.6101813998539001, 0.0002001000102609396, 0.14040579996071756, 0.15684990002773702, 0.00019580009393393993, 0.42294620000757277]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,train_y,red_square,top_left,2024-11-07_15h47.06.207,HideSeek_v1,2022.2.5,60.12242126847393,
,,,,,,,,,,,,0,0,0,0,10,0,10,0,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_y_first/red_square_00/top_left/instructions/Slide11.png,conditions/schedules/train_y_first/red_square_00/top_left/instructions/Audio11.wav,30.17526419996284,30.158652679855003,11,"[1.3223693000618368, 0.8292848998680711, 0.16524180001579225, 0.4363834001123905, 1.4732392001897097, 0.9105980999302119, 0.14039910002611578, 0.15684389998205006, 0.2770386999472976, 0.42293940018862486, 1.9879497000947595]","[0.7587128998711705, 0.09786480013281107, 0.40241690003313124, 1.2721187002025545, 0.6101813998539001, 0.0002001000102609396, 0.14040579996071756, 0.15684990002773702, 0.00019580009393393993, 1.6378365999553353, 1.9879564000293612]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,train_y,red_square,top_left,2024-11-07_15h47.06.207,HideSeek_v1,2022.2.5,60.12242126847393,
,,,,,,,,,,,,0,0,0,0,11,0,11,0,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_y_first/red_square_00/top_left/instructions/Slide12.png,conditions/schedules/train_y_first/red_square_00/top_left/instructions/Audio12.wav,32.20842119981535,32.191955519863406,12,"[1.3223693000618368, 0.8292848998680711, 0.16524180001579225, 0.4363834001123905, 1.4732392001897097, 0.9105980999302119, 0.14039910002611578, 0.15684389998205006, 0.2770386999472976, 0.42293940018862486, 1.9879497000947595, 0.555976799922064]","[0.7587128998711705, 0.09786480013281107, 0.40241690003313124, 1.2721187002025545, 0.6101813998539001, 0.0002001000102609396, 0.14040579996071756, 0.15684990002773702, 0.00019580009393393993, 1.6378365999553353, 0.02200459991581738, 0.5559838998597115]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,train_y,red_square,top_left,2024-11-07_15h47.06.207,HideSeek_v1,2022.2.5,60.12242126847393,
,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,0.7,0,0,99,1,30,0,conditions/schedules/train_y_first/red_square_00/top_left/inputTrain_1.1.xlsx,99,1,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,train_y,red_square,top_left,2024-11-07_15h47.06.207,HideSeek_v1,2022.2.5,60.12242126847393,
,,,,,,,,,,,,1,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_y_first/red_square_00/top_left/instructions/Slide13.png,conditions/schedules/train_y_first/red_square_00/top_left/instructions/Audio13.wav,32.8623118000105,32.85882097992581,13,"[1.3223693000618368, 0.8292848998680711, 0.16524180001579225, 0.4363834001123905, 1.4732392001897097, 0.9105980999302119, 0.14039910002611578, 0.15684389998205006, 0.2770386999472976, 0.42293940018862486, 1.9879497000947595, 0.555976799922064, 0.16268209996633232]","[0.7587128998711705, 0.09786480013281107, 0.40241690003313124, 1.2721187002025545, 0.6101813998539001, 0.0002001000102609396, 0.14040579996071756, 0.15684990002773702, 0.00019580009393393993, 1.6378365999553353, 0.02200459991581738, 0.5559838998597115, 0.16269279993139207]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,train_y,red_square,top_left,2024-11-07_15h47.06.207,HideSeek_v1,2022.2.5,60.12242126847393,
,,,,,,,,,,,,1,0,1,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_y_first/red_square_00/top_left/instructions/Slide14.png,conditions/schedules/train_y_first/red_square_00/top_left/instructions/Audio14.wav,33.075093099847436,33.058885219763035,14,"[1.3223693000618368, 0.8292848998680711, 0.16524180001579225, 0.4363834001123905, 1.4732392001897097, 0.9105980999302119, 0.14039910002611578, 0.15684389998205006, 0.2770386999472976, 0.42293940018862486, 1.9879497000947595, 0.555976799922064, 0.16268209996633232, 0.17242540000006557]","[0.7587128998711705, 0.09786480013281107, 0.40241690003313124, 1.2721187002025545, 0.6101813998539001, 0.0002001000102609396, 0.14040579996071756, 0.15684990002773702, 0.00019580009393393993, 1.6378365999553353, 0.02200459991581738, 0.5559838998597115, 0.021563800051808357, 0.17243240005336702]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,train_y,red_square,top_left,2024-11-07_15h47.06.207,HideSeek_v1,2022.2.5,60.12242126847393,
,,,,,,,,,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,0.7,0,0,99,1,30,0,conditions/schedules/train_y_first/red_square_00/top_left/inputTrain_1.1.xlsx,99,1,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,train_y,red_square,top_left,2024-11-07_15h47.06.207,HideSeek_v1,2022.2.5,60.12242126847393,
,,,,,,,,,,,,2,0,2,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_y_first/red_square_00/top_left/instructions/Slide15.png,conditions/schedules/train_y_first/red_square_00/top_left/instructions/Audio15.wav,33.35779849998653,33.34271687988658,15,"[1.3223693000618368, 0.8292848998680711, 0.16524180001579225, 0.4363834001123905, 1.4732392001897097, 0.9105980999302119, 0.14039910002611578, 0.15684389998205006, 0.2770386999472976, 0.42293940018862486, 1.9879497000947595, 0.555976799922064, 0.16268209996633232, 0.17242540000006557, 0.06698579993098974]","[0.7587128998711705, 0.09786480013281107, 0.40241690003313124, 1.2721187002025545, 0.6101813998539001, 0.0002001000102609396, 0.14040579996071756, 0.15684990002773702, 0.00019580009393393993, 1.6378365999553353, 0.02200459991581738, 0.5559838998597115, 0.021563800051808357, 0.17243240005336702, 0.06699379999190569]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,train_y,red_square,top_left,2024-11-07_15h47.06.207,HideSeek_v1,2022.2.5,60.12242126847393,
,,,,,,,,,,,,2,0,2,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_y_first/red_square_00/top_left/instructions/Slide16.png,conditions/schedules/train_y_first/red_square_00/top_left/instructions/Audio16.wav,33.475461499998346,33.45857941990253,16,"[1.3223693000618368, 0.8292848998680711, 0.16524180001579225, 0.4363834001123905, 1.4732392001897097, 0.9105980999302119, 0.14039910002611578, 0.15684389998205006, 0.2770386999472976, 0.42293940018862486, 1.9879497000947595, 0.555976799922064, 0.16268209996633232, 0.17242540000006557, 0.06698579993098974, 0.13821849995292723]","[0.7587128998711705, 0.09786480013281107, 0.40241690003313124, 1.2721187002025545, 0.6101813998539001, 0.0002001000102609396, 0.14040579996071756, 0.15684990002773702, 0.00019580009393393993, 1.6378365999553353, 0.02200459991581738, 0.5559838998597115, 0.021563800051808357, 0.17243240005336702, 0.00023359991610050201, 0.13822550000622869]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,train_y,red_square,top_left,2024-11-07_15h47.06.207,HideSeek_v1,2022.2.5,60.12242126847393,
,,,,,,,,,,,,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,0.7,0,0,99,1,30,0,conditions/schedules/train_y_first/red_square_00/top_left/inputTrain_1.1.xlsx,99,1,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,train_y,red_square,top_left,2024-11-07_15h47.06.207,HideSeek_v1,2022.2.5,60.12242126847393,
,,,,,,,,,,,,3,0,3,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_y_first/red_square_00/top_left/instructions/Slide17.png,conditions/schedules/train_y_first/red_square_00/top_left/instructions/Audio17.wav,33.71135459979996,33.708688279823406,17,"[1.3223693000618368, 0.8292848998680711, 0.16524180001579225, 0.4363834001123905, 1.4732392001897097, 0.9105980999302119, 0.14039910002611578, 0.15684389998205006, 0.2770386999472976, 0.42293940018862486, 1.9879497000947595, 0.555976799922064, 0.16268209996633232, 0.17242540000006557, 0.06698579993098974, 0.13821849995292723, 0.24890460004098713]","[0.7587128998711705, 0.09786480013281107, 0.40241690003313124, 1.2721187002025545, 0.6101813998539001, 0.0002001000102609396, 0.14040579996071756, 0.15684990002773702, 0.00019580009393393993, 1.6378365999553353, 0.02200459991581738, 0.5559838998597115, 0.021563800051808357, 0.17243240005336702, 0.00023359991610050201, 0.13822550000622869, 0.24891320010647178]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,train_y,red_square,top_left,2024-11-07_15h47.06.207,HideSeek_v1,2022.2.5,60.12242126847393,
,,,,,,,,,,,,3,0,3,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_y_first/red_square_00/top_left/instructions/Slide18.png,conditions/schedules/train_y_first/red_square_00/top_left/instructions/Audio18.wav,34.008655099896714,33.993485219799915,18,"[1.3223693000618368, 0.8292848998680711, 0.16524180001579225, 0.4363834001123905, 1.4732392001897097, 0.9105980999302119, 0.14039910002611578, 0.15684389998205006, 0.2770386999472976, 0.42293940018862486, 1.9879497000947595, 0.555976799922064, 0.16268209996633232, 0.17242540000006557, 0.06698579993098974, 0.13821849995292723, 0.24890460004098713, 0.19043299998156726]","[0.7587128998711705, 0.09786480013281107, 0.40241690003313124, 1.2721187002025545, 0.6101813998539001, 0.0002001000102609396, 0.14040579996071756, 0.15684990002773702, 0.00019580009393393993, 1.6378365999553353, 0.02200459991581738, 0.5559838998597115, 0.021563800051808357, 0.17243240005336702, 0.00023359991610050201, 0.13822550000622869, 0.023693199967965484, 0.19043979980051517]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,train_y,red_square,top_left,2024-11-07_15h47.06.207,HideSeek_v1,2022.2.5,60.12242126847393,
,,,,,,,,,,,,3,0,3,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_y_first/red_square_00/top_left/instructions/Slide19.png,conditions/schedules/train_y_first/red_square_00/top_left/instructions/Audio19.wav,34.241464799968526,34.22516781978775,19,"[1.3223693000618368, 0.8292848998680711, 0.16524180001579225, 0.4363834001123905, 1.4732392001897097, 0.9105980999302119, 0.14039910002611578, 0.15684389998205006, 0.2770386999472976, 0.42293940018862486, 1.9879497000947595, 0.555976799922064, 0.16268209996633232, 0.17242540000006557, 0.06698579993098974, 0.13821849995292723, 0.24890460004098713, 0.19043299998156726, 0.15764759993180633]","[0.7587128998711705, 0.09786480013281107, 0.40241690003313124, 1.2721187002025545, 0.6101813998539001, 0.0002001000102609396, 0.14040579996071756, 0.15684990002773702, 0.00019580009393393993, 1.6378365999553353, 0.02200459991581738, 0.5559838998597115, 0.021563800051808357, 0.17243240005336702, 0.00023359991610050201, 0.13822550000622869, 0.023693199967965484, 0.0001914000604301691, 0.15765559999272227]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,train_y,red_square,top_left,2024-11-07_15h47.06.207,HideSeek_v1,2022.2.5,60.12242126847393,
